candles

open;close;high;low;value;volume;begin;end
12.13;12.13;12.13;12.13;6817.0599999999995;562;2025-09-17 09:59:00;2025-09-17 09:59:59
12.13;12.13;12.13;12.12;94621.63;7801;2025-09-17 10:00:00;2025-09-17 10:00:59
12.23;12.11;12.3;12.11;39522.14;3254;2025-09-17 10:01:00;2025-09-17 10:01:59
12.1;12.13;12.13;12.1;435.63;36;2025-09-17 10:02:00;2025-09-17 10:02:59
12.14;12.14;12.14;12.14;242.8;20;2025-09-17 10:03:00;2025-09-17 10:03:59
12.15;12.15;12.15;12.15;619.65;51;2025-09-17 10:04:00;2025-09-17 10:04:59
12.14;12.14;12.14;12.14;291.36;24;2025-09-17 10:05:00;2025-09-17 10:05:59
12.14;12.14;12.14;12.14;6458.48;532;2025-09-17 10:06:00;2025-09-17 10:06:59
12.14;12.14;12.14;12.14;182.1;15;2025-09-17 10:07:00;2025-09-17 10:07:59
12.13;12.15;12.15;12.13;1202.6499999999999;99;2025-09-17 10:08:00;2025-09-17 10:08:59
12.15;12.15;12.15;12.15;619.65;51;2025-09-17 10:09:00;2025-09-17 10:09:59
12.15;12.15;12.15;12.15;182.25;15;2025-09-17 10:10:00;2025-09-17 10:10:59
12.15;12.15;12.15;12.14;9930.539999999999;818;2025-09-17 10:12:00;2025-09-17 10:12:59
12.14;12.14;12.14;12.14;7320.42;603;2025-09-17 10:13:00;2025-09-17 10:13:59
12.14;12.11;12.14;12.11;994.59;82;2025-09-17 10:14:00;2025-09-17 10:14:59
12.13;12.13;12.13;12.13;2547.3;210;2025-09-17 10:15:00;2025-09-17 10:15:59
12.13;12.13;12.13;12.13;12.13;1;2025-09-17 10:17:00;2025-09-17 10:17:59
12.12;12.13;12.13;12.12;8520.369999999999;703;2025-09-17 10:18:00;2025-09-17 10:18:59
12.13;12.12;12.13;12.11;303.12;25;2025-09-17 10:19:00;2025-09-17 10:19:59
12.12;12.12;12.12;12.12;60.6;5;2025-09-17 10:20:00;2025-09-17 10:20:59
12.12;12.12;12.12;12.12;2096.76;173;2025-09-17 10:21:00;2025-09-17 10:21:59
12.12;12.12;12.12;12.12;242.4;20;2025-09-17 10:26:00;2025-09-17 10:26:59
12.12;12.11;12.12;12.11;169.57;14;2025-09-17 10:28:00;2025-09-17 10:28:59
12.12;12.1;12.12;12.1;9591.169999999998;792;2025-09-17 10:29:00;2025-09-17 10:29:59
12.1;12.08;12.1;12.07;12408.010000000002;1026;2025-09-17 10:31:00;2025-09-17 10:31:59
12.09;12.09;12.09;12.09;3155.49;261;2025-09-17 10:32:00;2025-09-17 10:32:59
12.09;12.09;12.09;12.09;2248.74;186;2025-09-17 10:33:00;2025-09-17 10:33:59
12.08;12.1;12.1;12.08;9921.24;820;2025-09-17 10:34:00;2025-09-17 10:34:59
12.08;12.07;12.08;12.07;4817.780000000001;399;2025-09-17 10:37:00;2025-09-17 10:37:59
12.1;12.1;12.1;12.1;726;60;2025-09-17 10:41:00;2025-09-17 10:41:59
12.08;12.08;12.08;12.08;12.08;1;2025-09-17 10:42:00;2025-09-17 10:42:59
12.1;12.08;12.1;12.08;1016.36;84;2025-09-17 10:43:00;2025-09-17 10:43:59
